PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,brca1-p1_activity-Activity_Score,brca1-p1_activity-Curve_Description,brca1-p1_activity-Fit_LogAC50,brca1-p1_activity-Fit_HillSlope,brca1-p1_activity-Fit_R2,brca1-p1_activity-Fit_InfiniteActivity,brca1-p1_activity-Fit_ZeroActivity,brca1-p1_activity-Fit_CurveClass,brca1-p1_activity-Excluded_Points,brca1-p1_activity-Max_Response,brca1-p1_activity-Activity at 0.092 uM,brca1-p1_activity-Activity at 0.184 uM,brca1-p1_activity-Activity at 0.258 uM,brca1-p1_activity-Activity at 0.337 uM,brca1-p1_activity-Activity at 0.369 uM,brca1-p1_activity-Activity at 0.517 uM,brca1-p1_activity-Activity at 0.737 uM,brca1-p1_activity-Activity at 0.922 uM,brca1-p1_activity-Activity at 1.290 uM,brca1-p1_activity-Activity at 1.840 uM,brca1-p1_activity-Activity at 2.115 uM,brca1-p1_activity-Activity at 2.587 uM,brca1-p1_activity-Activity at 3.690 uM,brca1-p1_activity-Activity at 4.610 uM,brca1-p1_activity-Activity at 6.450 uM,brca1-p1_activity-Activity at 9.218 uM,brca1-p1_activity-Activity at 12.69 uM,brca1-p1_activity-Activity at 18.70 uM,brca1-p1_activity-Activity at 36.87 uM,brca1-p1_activity-Activity at 46.10 uM,brca1-p1_activity-Activity at 64.71 uM,brca1-p1_activity-Activity at 92.20 uM,Compound QC
64,849717,652223,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000028164-01/146370863,,Activator,3.5481,131.341,,86,Complete curve; high efficacy,-5.45,2.9523,0.9999,130.257,-1.084,1.1,0 0 0 0,130.78,,,,,-1.4543,,,,,16.2323,,,,,,122.358,,,,130.78,,,QC'd by Asinex Ltd.
65,849776,652282,Active,49,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000034413-01/146319893,,Activator,5.6234,225.18,,49,Partial curve; high efficacy,-5.25,1.21,0.9995,229.151,3.9705,2.1,0 0 0 0,212.177,,,,,13.6536,,,,,48.0213,,,,,,151.197,,,,212.177,,,QC'd by DPISMR
66,849777,652283,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000073029-01/146517754,,Activator,11.2202,177.164,,44,Partial curve; high efficacy,-4.95,4.5045,0.999,184.369,7.2047,2.1,0 0 0 0,184.001,,,,,3.8844,,,,,10.1666,,,,,,58.1685,,,,184.001,,,QC'd by Asinex Ltd.
67,849894,652401,Active,48,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000075884-01/146425489,,Activator,5.0119,199.75,,48,Partial curve; high efficacy,-5.3,1.1,1,187.823,-11.9277,2.1,0 0 0 0,171.999,,,,,-0.5911,,,,,37.7383,,,,,,119.74,,,,171.999,,,QC'd by DPISMR
68,849959,652469,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000033106-01/146419411,,Activator,2.8184,120.145,,86,Complete curve; high efficacy,-5.55,1.3437,0.9999,111.829,-8.3154,1.1,0 0 0 0,108.995,,,,,-0.5399,,,,,34.4696,,,,,,92.1752,,,,108.995,,,QC'd by DPISMR
69,850063,251365,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000029491-01/146465030,,Activator,7.0795,108.555,,43,Partial curve; high efficacy,-5.15,4.095,0.9997,105.153,-3.402,2.1,0 0 0 0,104.944,,,,,-2.3609,,,,,-4.1992,,,,,,77.4802,,,,104.944,,,QC'd by Asinex Ltd.
70,850426,652947,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000031327-01/146465656,,Activator,1.4125,126.327,,87,Complete curve; high efficacy,-5.85,1.7529,0.9993,102.161,-24.1662,1.1,0 0 0 0,103.193,,,,,-13.3407,,,,,54.2427,,,,,,95.6774,,,,103.193,,,QC'd by Asinex Ltd.
71,850525,399108,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000070729-01/146522359,,Activator,7.9433,123.74,,44,Partial curve; high efficacy,-5.1,1.6604,0.9985,118.84,-4.8995,2.1,0 0 0 0,110.037,,,,,-3.6094,,,,,3.9287,,,,,,66.9241,,,,110.037,,,QC'd by DPISMR
72,850631,653162,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000074006-01/146622571,,Activator,10,282.183,,47,Partial curve; high efficacy,-5,1.2475,0.9999,289.402,7.2183,2.1,0 0 0 0,252.532,,,,,11.9209,,,,,38.6586,,,,,,140.229,,,,252.532,,,QC'd by Asinex Ltd.
73,850657,653187,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000031784-01/146617052,,Activator,7.9433,147.715,,44,Partial curve; high efficacy,-5.1,1.7137,1,144.4,-3.3152,2.1,0 0 0 0,137.524,,,,,-2.1806,,,,,7.7491,,,,,,79.6557,,,,137.524,,,QC'd by DPISMR
74,850757,653296,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000071710-01/146426652,,Activator,10,101.795,,43,Partial curve; high efficacy,-5,1.8617,0.9997,102.233,0.4382,2.1,0 0 0 0,96.2649,,,,,0.6466,,,,,3.5761,,,,,,48.3874,,,,96.2649,,,QC'd by Asinex Ltd.
75,850892,653438,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000073826-01/146425243,,Activator,5.6234,190.308,,87,Complete curve; high efficacy,-5.25,2.3531,0.9987,195.12,4.8113,1.1,0 0 0 0,193.571,,,,,1.1207,,,,,21.8472,,,,,,149.09,,,,193.571,,,QC'd by DPISMR
76,850951,574794,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000029202-01/146564923,,Activator,11.2202,101.445,,42,Partial curve; high efficacy,-4.95,4.9549,0.9998,100.853,-0.5915,2.1,0 0 0 0,101.258,,,,,0.0264,,,,,-0.9187,,,,,,26.6037,,,,101.258,,,QC'd by Asinex Ltd.
77,851323,653894,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000072749-01/146572865,,Activator,14.1254,213.928,,44,Partial curve; high efficacy,-4.85,1.1341,1,216.413,2.4852,2.1,0 0 0 0,171.757,,,,,6.0747,,,,,21.2035,,,,,,84.3421,,,,171.757,,,QC'd by Asinex Ltd.
78,851532,654107,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000034245-01/146318987,,Activator,7.0795,123.983,,44,Partial curve; high efficacy,-5.15,1.8851,0.9985,120.076,-3.9073,2.1,0 0 0 0,117.033,,,,,-0.8012,,,,,2.334,,,,,,73.0529,,,,117.033,,,QC'd by Asinex Ltd.
79,851640,654225,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000034551-01/146429155,,Activator,11.2202,185.047,,44,Partial curve; high efficacy,-4.95,4.9549,0.999,181.891,-3.1556,2.1,0 0 0 0,182.621,,,,,0.6314,,,,,-4.1864,,,,,,45.0936,,,,182.621,,,QC'd by Asinex Ltd.
80,851766,654359,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000028240-01/146371156,,Activator,8.9125,129.1,,44,Partial curve; high efficacy,-5.05,2.2526,0.9996,129.722,0.6216,2.1,0 0 0 0,126.434,,,,,2.108,,,,,2.6883,,,,,,67.2121,,,,126.434,,,QC'd by Asinex Ltd.
81,852050,654656,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000072500-01/146419621,,Activator,12.5893,168.956,,43,Partial curve; high efficacy,-4.9,1.2216,0.9999,166.328,-2.6286,2.1,0 0 0 0,138.607,,,,,-0.4523,,,,,11.3254,,,,,,66.0025,,,,138.607,,,QC'd by DPISMR
82,852309,654924,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000072944-01/146523927,,Activator,6.3096,104.149,,43,Partial curve; high efficacy,-5.2,1.2221,0.9998,88.0598,-16.0893,2.1,0 0 0 0,80.148,,,,,-12.4655,,,,,2.9759,,,,,,47.1723,,,,80.148,,,QC'd by DPISMR
83,852326,654941,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000034547-01/146463480,,Activator,11.2202,126.037,,43,Partial curve; high efficacy,-4.95,1.2475,0.9999,112.157,-13.8802,2.1,0 0 0 0,93.4644,,,,,-12.4495,,,,,-1.2896,,,,,,41.7346,,,,93.4644,,,QC'd by DPISMR
84,852359,2911251,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000035832-01/146431282,,Activator,7.9433,133.923,,44,Partial curve; high efficacy,-5.1,1.6604,1,130.885,-3.0376,2.1,0 0 0 0,123.944,,,,,-2.0066,,,,,7.3202,,,,,,71.9931,,,,123.944,,,QC'd by Asinex Ltd.
85,852443,655064,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000073419-01/146567578,,Activator,11.2202,155.711,,42,Partial curve; high efficacy,-4.95,4.9549,0.9994,111.03,-44.6811,2.1,0 0 0 0,111.725,,,,,-45.765,,,,,-42.4919,,,,,,-3.6107,,,,111.725,,,QC'd by DPISMR
86,852449,655070,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000073834-01/146619072,,Activator,10,102.996,,43,Partial curve; high efficacy,-5,2.5334,0.9991,101.282,-1.7137,2.1,0 0 0 0,98.7156,,,,,-0.802,,,,,-2.2696,,,,,,45.5822,,,,98.7156,,,QC'd by DPISMR
87,852506,655131,Active,85,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000072658-01/146523174,,Activator,5.0119,116.175,,85,Complete curve; high efficacy,-5.3,1.8617,0.9997,122.424,6.2495,1.1,0 0 0 0,121.453,,,,,7.825,,,,,20.7426,,,,,,93.4988,,,,121.453,,,QC'd by DPISMR
88,852523,655147,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000035146-01/146315591,,Activator,2.5119,131.041,,87,Complete curve; high efficacy,-5.6,2.0479,0.9998,123.805,-7.2354,1.1,0 0 0 0,123.558,,,,,-3.9051,,,,,36.8021,,,,,,115.12,,,,123.558,,,QC'd by DPISMR
89,852532,655156,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000030791-01/146461546,,Activator,14.1254,121.525,,42,Partial curve; high efficacy,-4.85,4.5045,0.9995,128.722,7.197,2.1,0 0 0 0,126.198,,,,,7.7805,,,,,6.2492,,,,,,22.9046,,,,126.198,,,QC'd by Asinex Ltd.
90,852654,655290,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000032785-01/146326448,,Activator,3.1623,113.632,,86,Complete curve; high efficacy,-5.5,2.0479,0.9998,117.022,3.3901,1.1,0 0 0 0,117.492,,,,,4.489,,,,,31.5271,,,,,,104.484,,,,117.492,,,QC'd by Asinex Ltd.
91,852768,655408,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000071691-01/146433427,,Activator,10,103.733,,43,Partial curve; high efficacy,-5,4.9549,0.9992,104.039,0.3058,2.1,0 0 0 0,103.831,,,,,2.2429,,,,,-1.0563,,,,,,41.9675,,,,103.831,,,QC'd by Asinex Ltd.
92,852803,655443,Active,90,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000031540-01/146418997,,Activator,3.1623,197.275,,90,Complete curve; high efficacy,-5.5,1.4163,0.9999,208.222,10.9467,1.1,0 0 0 0,202.945,,,,,20.4996,,,,,72.796,,,,,,173.408,,,,202.945,,,QC'd by DPISMR
93,852853,655500,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000077325-01/146465049,,Activator,11.2202,123.48,,43,Partial curve; high efficacy,-4.95,4.5045,0.9995,113.924,-9.5564,2.1,0 0 0 0,113.697,,,,,-8.0089,,,,,-11.0831,,,,,,27.3262,,,,113.697,,,QC'd by Asinex Ltd.
94,852917,655561,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000035847-01/146570497,,Activator,11.2202,112.544,,43,Partial curve; high efficacy,-4.95,4.095,0.9992,113.487,0.9425,2.1,0 0 0 0,112.586,,,,,0.8545,,,,,-0.1541,,,,,,37.8907,,,,112.586,,,QC'd by Asinex Ltd.
95,853015,655658,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000070499-01/146326409,,Activator,11.2202,167.258,,44,Partial curve; high efficacy,-4.95,1.3723,1,171.602,4.3438,2.1,0 0 0 0,150.528,,,,,5.7335,,,,,17.5697,,,,,,77.331,,,,150.528,,,QC'd by DPISMR
96,853044,655685,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000071045-01/146432053,,Activator,12.5893,111.203,,42,Partial curve; high efficacy,-4.9,1.1341,0.9996,107.399,-3.8036,2.1,0 0 0 0,86.4726,,,,,-2.428,,,,,8.695,,,,,,41.9724,,,,86.4726,,,QC'd by DPISMR
97,853229,655883,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000035248-01/146422706,,Activator,1.4125,126.589,,88,Complete curve; high efficacy,-5.85,2.4064,0.9994,117.871,-8.7179,1.1,0 0 0 0,116.189,,,,,-4.2185,,,,,75.4013,,,,,,117.636,,,,116.189,,,QC'd by DPISMR
98,853571,656230,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000076042-01/146567428,,Activator,10,126.634,,43,Partial curve; high efficacy,-5,3.99,0.9998,126.633,-0.0003,2.1,0 0 0 0,126.381,,,,,-1.0623,,,,,1.2448,,,,,,52.8294,,,,126.381,,,QC'd by Asinex Ltd.
99,853576,656235,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000027205-01/146321449,,Activator,12.5893,165.864,,43,Partial curve; high efficacy,-4.9,4.095,0.9993,162.393,-3.4709,2.1,0 0 0 0,161.104,,,,,-6.3817,,,,,-2.2159,,,,,,34.5111,,,,161.104,,,QC'd by DPISMR
100,853587,656246,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000030063-01/146322860,,Activator,11.2202,195.144,,45,Partial curve; high efficacy,-4.95,4.9549,0.9985,205.067,9.9227,2.1,0 0 0 0,204.657,,,,,6.2036,,,,,14.7967,,,,,,63.3424,,,,204.657,,,QC'd by Asinex Ltd.
101,856102,657481,Active,85,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000038738-01/146325087,,Activator,3.9811,115.259,,85,Complete curve; high efficacy,-5.4,1.5386,0.9999,114.161,-1.098,1.1,0 0 0 0,111.268,,,,,1.4663,,,,,26.5805,,,,,,89.3556,,,,111.268,,,QC'd by DPISMR
102,856193,762378,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000038241-01/146271001,,Activator,3.9811,145.555,,87,Complete curve; high efficacy,-5.4,1.6924,0.9999,157.558,12.0023,1.1,0 0 0 0,155.382,,,,,14.1786,,,,,43.3941,,,,,,129.951,,,,155.382,,,QC'd by DPISMR
103,856295,20926,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000071430-01/146464817,,Activator,5.6234,180.566,,46,Partial curve; high efficacy,-5.25,0.9,0.9999,164.642,-15.9244,2.1,0 0 0 0,140.719,,,,,-1.425,,,,,31.6708,,,,,,94.1432,,,,140.719,,,QC'd by InterBioScreen
104,856428,657789,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000080237-01/146571657,,Activator,4.4668,187.635,,47,Partial curve; high efficacy,-5.35,1.2216,0.9999,172.849,-14.7859,2.1,0 0 0 0,161.843,,,,,-6.7033,,,,,33.0825,,,,,,118.521,,,,161.843,,,QC'd by InterBioScreen
105,856448,657808,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000078970-01/146573101,,Activator,2.5119,145.619,,87,Complete curve; high efficacy,-5.6,1.6259,1,133.49,-12.1289,1.1,0 0 0 0,132.43,,,,,-5.5094,,,,,42.3894,,,,,,118.247,,,,132.43,,,QC'd by DPISMR
106,856460,611207,Active,54,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000037893-01/146314451,,Activator,4.4668,328.367,,54,Partial curve; high efficacy,-5.35,1.3437,0.9998,320.838,-7.5286,2.1,0 0 0 0,307.316,,,,,6.1705,,,,,67.1938,,,,,,230.737,,,,307.316,,,QC'd by InterBioScreen
107,856679,658030,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000080057-01/146574080,,Activator,12.5893,206.04,,44,Partial curve; high efficacy,-4.9,1.031,0.9999,208.408,2.3679,2.1,0 0 0 0,166.194,,,,,8.3357,,,,,26.4824,,,,,,88.9386,,,,166.194,,,QC'd by DPISMR
108,857235,658581,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000079108-01/146523243,,Activator,10,108.367,,43,Partial curve; high efficacy,-5,2.7202,0.9991,111.601,3.2339,2.1,0 0 0 0,110.06,,,,,4.8335,,,,,2.2626,,,,,,51.7788,,,,110.06,,,QC'd by DPISMR
109,857306,347218,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000080764-01/146625886,,Activator,11.2202,239.568,,45,Partial curve; high efficacy,-4.95,1.1341,0.9999,230.937,-8.6308,2.1,0 0 0 0,190.542,,,,,-3.157,,,,,18.0136,,,,,,99.0038,,,,190.542,,,QC'd by DPISMR
110,857351,658698,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000079121-01/146564203,,Activator,11.2202,120.813,,43,Partial curve; high efficacy,-4.95,4.095,0.9999,121.418,0.6057,2.1,0 0 0 0,121.176,,,,,1.2858,,,,,0.0419,,,,,,37.8051,,,,121.176,,,QC'd by InterBioScreen
111,857395,6882260,Active,90,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000068794-01/146459905,,Activator,2.2387,190.923,,90,Complete curve; high efficacy,-5.65,1.2221,0.9997,175.84,-15.0825,1.1,0 0 0 0,172.392,,,,,4.8084,,,,,68.252,,,,,,145.519,,,,172.392,,,QC'd by InterBioScreen
112,857645,6869610,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000068795-01/146365711,,Activator,7.9433,180.097,,45,Partial curve; high efficacy,-5.1,0.9,0.9995,155.676,-24.4212,2.1,0 0 0 0,125.343,,,,,-14.5232,,,,,15.207,,,,,,70.2261,,,,125.343,,,QC'd by DPISMR
113,857651,617281,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000028299-01/146430428,,Activator,10,104.686,,43,Partial curve; high efficacy,-5,3.0654,0.9997,107.283,2.5965,2.1,0 0 0 0,106.431,,,,,3.6825,,,,,2.5708,,,,,,47.5372,,,,106.431,,,QC'd by InterBioScreen
114,857697,659056,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000079871-01/146524177,,Activator,11.2202,121.903,,43,Partial curve; high efficacy,-4.95,4.095,0.9996,119.188,-2.7146,2.1,0 0 0 0,118.243,,,,,-3.7875,,,,,-2.6497,,,,,,36.6369,,,,118.243,,,QC'd by DPISMR
115,857815,8570,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000078302-01/146320659,,Activator,10,128.485,,43,Partial curve; high efficacy,-5,3.5117,0.9996,126.745,-1.7408,2.1,0 0 0 0,126.492,,,,,-2.5258,,,,,0.3421,,,,,,52.7588,,,,126.492,,,QC'd by DPISMR
116,857832,6400923,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000038828-01/146520981,,Activator,7.9433,189.415,,46,Partial curve; high efficacy,-5.1,1.21,0.9998,201.79,12.3749,2.1,0 0 0 0,180.815,,,,,15.8166,,,,,39.9837,,,,,,116.998,,,,180.815,,,QC'd by InterBioScreen
117,857923,659276,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000042761-01/146323480,,Activator,11.2202,249.177,,46,Partial curve; high efficacy,-4.95,1.2876,0.9997,247.835,-1.3424,2.1,0 0 0 0,214.02,,,,,-0.226,,,,,22.7613,,,,,,106.473,,,,214.02,,,QC'd by InterBioScreen
118,857963,659312,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000042757-01/146573156,,Activator,12.5893,129.166,,43,Partial curve; high efficacy,-4.9,4.5045,0.9996,129.099,-0.0669,2.1,0 0 0 0,128.841,,,,,-1.6873,,,,,1.1931,,,,,,25.2712,,,,128.841,,,QC'd by DPISMR
119,858006,659353,Active,85,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000028139-01/146571642,,Activator,5.0119,180.308,,85,Complete curve; high efficacy,-5.3,4.5045,0.9996,124.837,-55.4708,1.1,0 0 0 0,124.898,,,,,-53.1989,,,,,-56.0257,,,,,,114.095,,,,124.898,,,QC'd by InterBioScreen
120,858176,659528,Active,48,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000027402-01/146319615,,Activator,4.4668,200.149,,48,Partial curve; high efficacy,-5.35,1.5936,0.9999,184.724,-15.4257,2.1,0 0 0 0,180.042,,,,,-11.2605,,,,,22.5866,,,,,,137.383,,,,180.042,,,QC'd by DPISMR
121,858178,659530,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000078793-01/146364040,,Activator,10,211.117,,45,Partial curve; high efficacy,-5,1.1,1,211.981,0.8633,2.1,0 0 0 0,178.435,,,,,5.7658,,,,,29.3317,,,,,,101.759,,,,178.435,,,QC'd by DPISMR
122,858222,659569,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000079060-01/146621917,,Activator,10,118.923,,43,Partial curve; high efficacy,-5,4.4495,0.9997,118.213,-0.7099,2.1,0 0 0 0,117.977,,,,,0.2313,,,,,-2.0925,,,,,,47.9949,,,,117.977,,,QC'd by InterBioScreen
123,858234,5389142,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000079650-01/146434493,,Activator,3.5481,100.702,,44,Partial curve; partial efficacy,-5.45,1.2876,0.9999,83.4752,-17.2268,2.2,0 0 0 0,79.4169,,,,,-12.1424,,,,,12.9004,,,,,,61.059,,,,79.4169,,,QC'd by InterBioScreen
124,858278,659618,Active,85,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000071167-01/146432523,,Activator,3.9811,131.106,,85,Complete curve; high efficacy,-5.4,1.3437,1,110.695,-20.4111,1.1,0 0 0 0,106.03,,,,,-15.4903,,,,,14.2894,,,,,,78.1643,,,,106.03,,,QC'd by DPISMR
125,858306,659642,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000079854-01/146367512,,Activator,1.9953,114.348,,86,Complete curve; high efficacy,-5.7,1.8265,0.9995,107.54,-6.8071,1.1,0 0 0 0,105.432,,,,,-2.0886,,,,,47.0086,,,,,,101.081,,,,105.432,,,QC'd by DPISMR
126,858310,659646,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000068812-01/146625803,,Activator,3.1623,125.735,,87,Complete curve; high efficacy,-5.5,4.9549,0.9992,143.572,17.8379,1.1,0 0 0 0,141.036,,,,,17.6092,,,,,26.5667,,,,,,145.023,,,,141.036,,,QC'd by DPISMR
127,858325,659660,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000027403-01/146472525,,Activator,6.3096,150.432,,45,Partial curve; high efficacy,-5.2,1.331,1,141.108,-9.3238,2.1,0 0 0 0,130.656,,,,,-6.0609,,,,,15.2141,,,,,,85.0581,,,,130.656,,,QC'd by InterBioScreen
128,858520,659828,Active,92,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000038062-01/146419366,,Activator,2.8184,229.07,,92,Complete curve; high efficacy,-5.55,2.1876,0.9996,229.07,0,1.1,0 0 0 0,225.907,,,,,1.2098,,,,,65.3339,,,,,,215.639,,,,225.907,,,QC'd by DPISMR
129,858546,659858,Active,84,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000030446-01/146571553,,Activator,7.0795,115.884,,84,Complete curve; high efficacy,-5.15,4.5045,0.9988,118.243,2.3595,1.1,0 0 0 0,118.007,,,,,0.0331,,,,,5.2961,,,,,,91.9745,,,,118.007,,,QC'd by InterBioScreen
130,858619,659924,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000027372-01/146420794,,Activator,10,112.186,,43,Partial curve; high efficacy,-5,2.4729,0.9985,113.282,1.0958,2.1,0 0 0 0,109.769,,,,,2.2276,,,,,0.1905,,,,,,53.2692,,,,109.769,,,QC'd by DPISMR
131,858844,660151,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000080221-01/146522270,,Activator,11.2202,118.125,,43,Partial curve; high efficacy,-4.95,4.5045,0.999,129.486,11.3614,2.1,0 0 0 0,129.228,,,,,9.6343,,,,,13.7867,,,,,,45.4696,,,,129.228,,,QC'd by DPISMR
132,858906,660208,Active,84,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000039193-01/146370525,,Activator,6.3096,118.099,,84,Complete curve; high efficacy,-5.2,3.6772,0.9986,118.457,0.3584,1.1,0 0 0 0,118.933,,,,,-2.2255,,,,,4.266,,,,,,93.7025,,,,118.933,,,QC'd by InterBioScreen
133,858999,660302,Active,41,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000036534-01/146376018,,Activator,22.3872,121.079,,41,Partial curve; high efficacy,-4.65,3.2975,0.999,133.488,12.4086,2.1,0 0 0 0,122.917,,,,,10.1115,,,,,12.5711,,,,,,20.3492,,,,122.917,,,QC'd by InterBioScreen
134,859021,5389241,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000036288-01/146523090,,Activator,8.9125,161.398,,44,Partial curve; high efficacy,-5.05,2.2526,0.9994,159.467,-1.931,2.1,0 0 0 0,154.522,,,,,-0.9613,,,,,0.5046,,,,,,83.9681,,,,154.522,,,QC'd by DPISMR
135,859529,660825,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000078463-01/146372529,,Activator,11.2202,101.677,,42,Partial curve; high efficacy,-4.95,4.095,0.999,95.0143,-6.6628,2.1,0 0 0 0,94.2602,,,,,-5.3166,,,,,-8.551,,,,,,25.7406,,,,94.2602,,,QC'd by DPISMR
136,859538,5389275,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000078526-01/146520432,,Activator,12.5893,130.849,,43,Partial curve; high efficacy,-4.9,0.9,0.9995,131.803,0.9541,2.1,0 0 0 0,101.231,,,,,5.7723,,,,,21.5952,,,,,,56.1501,,,,101.231,,,QC'd by InterBioScreen
137,859702,661008,Active,83,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000036946-01/146466554,,Activator,6.3096,100.93,,83,Complete curve; high efficacy,-5.2,4.095,0.9986,93.704,-7.2258,1.1,0 0 0 0,94.0804,,,,,-4.9936,,,,,-9.0289,,,,,,75.1839,,,,94.0804,,,QC'd by InterBioScreen
138,859705,661011,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000077468-01/146458634,,Activator,10,194.144,,45,Partial curve; high efficacy,-5,2.0437,0.9993,193.224,-0.9201,2.1,0 0 0 0,184.023,,,,,0.0011,,,,,2.2981,,,,,,90.842,,,,184.023,,,QC'd by InterBioScreen
139,859726,661030,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000036899-01/146511882,,Activator,10,155.167,,44,Partial curve; high efficacy,-5,4.9549,0.9987,151.362,-3.8055,2.1,0 0 0 0,151.97,,,,,-0.5531,,,,,-5.1351,,,,,,55.6905,,,,151.97,,,QC'd by InterBioScreen
140,859786,661088,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000036625-01/146436720,,Activator,5.6234,149.221,,45,Partial curve; high efficacy,-5.25,1.8079,0.9998,134.76,-14.461,2.1,0 0 0 0,132.9,,,,,-13.2689,,,,,3.5535,,,,,,91.2983,,,,132.9,,,QC'd by DPISMR
